name,n,d,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
rrg_0178,300,5,4,1800.01,886318.31,"366.0
",0.12469868985046273,True,2500,1,0.0172,0.01863123621671313
rrg_0179,300,5,5,1800.00,900984.06,"364.0
",0.12643375132498957,True,2500,1,0.014133333333333333,0.018532640541274705
rrg_0180,300,7,1,1.36,517.38,"82.0
",0.0,False,1000,1,0.1915263157894737,0.02235318366462814
rrg_0181,300,7,2,1.73,688.84,"82.0
",0.0,False,1000,1,0.19310526315789475,0.023178160988620397
rrg_0182,300,7,3,2.10,849.36,"83.0
",0.0,False,1000,1,0.18710526315789477,0.027553775173572666
rrg_0183,300,7,4,1.47,516.01,"82.0
",0.0,False,1000,1,0.1916842105263158,0.024722056051260422
rrg_0184,300,7,5,1.51,549.36,"82.0
",0.0,False,1000,1,0.1848947368421053,0.02381432097827922
rrg_0185,300,10,1,153.30,67869.21,"122.0
",0.0,False,1500,1,0.12021052631578946,0.019228710451626815
rrg_0186,300,10,2,151.52,67577.82,"123.0
",0.0,False,1500,1,0.12326315789473684,0.020368443719104304
rrg_0187,300,10,3,139.23,65918.53,"122.0
",0.0,False,1500,1,0.11831578947368421,0.020499037204605233
rrg_0188,300,10,4,93.67,42412.56,"122.0
",0.0,False,1500,1,0.12463157894736843,0.019910418028653128
rrg_0189,300,10,5,89.79,41253.82,"122.0
",0.0,False,1500,1,0.12326315789473684,0.02005781118351861
rrg_0190,300,20,1,1800.01,766775.19,"164.0
",0.04251249810632204,True,2000,1,0.09323684210526316,0.018869558800021776
rrg_0191,300,20,2,1801.07,770157.57,"164.0
",0.04030038510908947,True,2000,1,0.09702631578947368,0.02027222968493826
rrg_0192,300,20,3,1802.02,942376.63,"164.0
",0.04363092419789417,True,2000,1,0.09110526315789474,0.01725954711917444
rrg_0193,300,20,4,1800.01,775109.76,"163.0
",0.03472830850129433,True,2000,1,0.09126315789473682,0.021323520365446772
rrg_0194,300,20,5,1800.01,837573.15,"164.0
",0.040975609756072395,True,2000,1,0.08928947368421053,0.019497691460764504
rrg_0195,300,30,1,1802.23,907897.98,"205.0
",0.07456031910712012,True,2500,1,0.07301052631578946,0.017770167038187824
rrg_0196,300,30,2,1802.28,909421.13,"204.0
",0.06921068231864579,True,2500,1,0.07067368421052632,0.017855076793814678
rrg_0197,300,30,3,1801.11,831131.10,"205.0
",0.07305512360759726,True,2500,1,0.07433684210526316,0.01870948920065923
rrg_0198,300,30,4,1802.22,896207.36,"205.0
",0.07406688118399798,True,2500,1,0.07086315789473685,0.0181351528064425
rrg_0199,300,30,5,1802.08,909958.44,"203.0
",0.06384699615034276,True,2500,1,0.07288421052631579,0.017065050708353326
rrg_0200,500,2,1,1801.69,876528.10,"245.0
",0.09291111697188084,True,3000,1,0.059157894736842104,0.016127149444807136
rrg_0201,500,2,2,1801.65,896560.57,"246.0
",0.09520646177856426,True,3000,1,0.05942105263157894,0.015210951247630847
rrg_0202,500,2,3,1801.52,874777.61,"246.0
",0.09674438807332426,True,3000,1,0.06005263157894736,0.016011797358915496
rrg_0203,500,2,4,1801.59,878383.87,"245.0
",0.09332033240076124,True,3000,1,0.05863157894736843,0.016499027644199606
rrg_0204,500,2,5,1801.17,869934.80,"246.0
",0.09670224298044447,True,3000,1,0.05831578947368422,0.016510104911041355
