name,n,p,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
gnp_0134,500,0.3,5,1800.01,576113.26,"479.0
",0.08164914286214342,True,37454,1,0.30055157554599077,0.004179431297665531
gnp_0135,500,0.5,1,1800.05,733440.28,"488.0
",0.04564226624122354,True,62440,1,0.5009775402231692,0.0024602953600666383
gnp_0136,500,0.5,2,1800.45,714454.28,"488.0
",0.045746307024993424,True,62205,1,0.4988933804974846,0.0025159637166217367
gnp_0137,500,0.5,3,1800.00,712204.31,"488.0
",0.046071735494952804,True,62556,1,0.5015545561534496,0.002496159286451184
gnp_0138,500,0.5,4,1800.00,710539.29,"487.0
",0.042826694258169734,True,62558,1,0.5014918416464831,0.002465286375922592
gnp_0139,500,0.5,5,1800.01,713112.15,"487.0
",0.04408833001345586,True,62598,1,0.5018125188261879,0.0025432878923938415
gnp_0140,500,0.7,1,970.30,361766.50,"492.0
",0.0,False,87321,1,0.6999913077533018,0.001347974701516575
gnp_0141,500,0.7,2,805.04,318084.28,"492.0
",0.0,False,87236,1,0.699385330642709,0.0013346934574885118
gnp_0142,500,0.7,3,961.79,357251.36,"491.0
",0.0,False,87424,1,0.7008004311724769,0.0013773783932421485
gnp_0143,500,0.7,4,899.94,349802.70,"492.0
",0.0,False,87227,1,0.699276845075724,0.0013866973287658955
gnp_0144,500,0.7,5,839.73,312050.70,"491.0
",0.0,False,87506,1,0.7014188056681805,0.0013313225658109127
gnp_0145,500,0.9,1,106.58,48321.66,"495.0
",0.0,False,112097,1,0.8985659847978459,0.0004162005247065825
gnp_0146,500,0.9,2,110.95,51307.15,"495.0
",0.0,False,112288,1,0.9001066682356991,0.000431006364546785
gnp_0147,500,0.9,3,116.88,54807.95,"495.0
",0.0,False,112471,1,0.9016388896944902,0.00044189033698997907
gnp_0148,500,0.9,4,126.93,62661.63,"495.0
",0.0,False,112168,1,0.8991468322216731,0.0004101109856021624
gnp_0149,500,0.9,5,109.41,51885.30,"495.0
",0.0,False,112237,1,0.8996495512649703,0.000407927957366148
